District,Crime_Type,Year,Total_Cases,Male_Victims,Female_Victims,Victims_Under18,Victims_18to45,Victims_Above45,Arrests_Made,Pending_Cases,Convictions
Bagalkot,Molestation,2024,25,16,9,4,20,1,15,10,1
Ramanagara,Kidnapping,2024,3,1,2,0,1,2,1,2,0
Raichur,Molestation,2024,38,16,22,5,29,4,9,29,0
Yadgir,Rape,2024,32,10,22,1,26,5,13,19,6
Vijayanagar,Theft,2024,142,97,45,26,105,11,64,78,10
Udupi,Robbery,2024,18,8,10,0,13,5,11,7,3
Haveri,Theft,2024,159,94,65,19,128,12,83,76,13
Shivamogga,Robbery,2024,13,6,7,0,10,3,7,6,1
Ballari,Rape,2024,46,20,26,5,38,3,39,7,11
Shivamogga,Dowry Death,2024,1,0,1,0,0,1,0,1,0
Gadag,Rape,2024,42,22,20,7,26,9,36,6,15
Mysuru,Theft,2024,119,54,65,8,83,28,81,38,28
Vijayanagar,Domestic Violence,2024,81,28,53,12,57,12,49,32,9
Ramanagara,Murder,2024,0,0,0,0,0,0,0,0,0
Haveri,Robbery,2024,22,12,10,2,15,5,14,8,4
Uttara Kannada,Kidnapping,2024,5,1,4,0,3,2,2,3,0
Belagavi,Cyber Crime,2024,70,35,35,12,46,12,45,25,3
Kalaburagi,Cyber Crime,2024,42,27,15,2,25,15,19,23,8
Haveri,Domestic Violence,2024,66,43,23,4,44,18,54,12,18
Bidar,Rape,2024,33,11,22,6,26,1,19,14,2
Bidar,Robbery,2024,13,4,9,2,10,1,3,10,1
Ramanagara,Dowry Death,2024,7,3,4,0,5,2,1,6,0
Kodagu,Dowry Death,2024,8,5,3,1,6,1,5,3,2
Uttara Kannada,Kidnapping,2024,6,1,5,0,4,2,3,3,0
Bengaluru Urban,Rape,2024,27,16,11,4,21,2,16,11,4
Koppal,Theft,2024,131,42,89,23,101,7,45,86,5
Hubballi,Rape,2024,41,17,24,3,34,4,19,22,3
Ballari,Murder,2024,10,5,5,0,6,4,4,6,0
Kodagu,Robbery,2024,17,5,12,1,10,6,9,8,3
Ballari,Theft,2024,120,50,70,20,86,14,51,69,16
Bengaluru Rural,Rape,2024,35,17,18,3,21,11,11,24,2
Kalaburagi,Robbery,2024,16,10,6,0,12,4,8,8,0
Ballari,Cyber Crime,2024,62,25,37,7,37,18,15,47,1
Raichur,Cheating,2024,108,42,66,5,89,14,53,55,4
Hassan,Robbery,2024,17,10,7,0,12,5,4,13,0
Bengaluru Rural,Domestic Violence,2024,56,18,38,1,42,13,45,11,10
Chamarajanagar2,Cyber Crime,2024,62,19,43,2,43,17,15,47,2
Bagalkot,Cyber Crime,2024,51,24,27,8,40,3,20,31,8
Bengaluru Urban,Theft,2024,112,62,50,19,77,16,73,39,35
Bengaluru Urban,Rape,2024,29,11,18,4,20,5,16,13,7
Mandya,Theft,2024,132,52,80,20,96,16,57,75,21
RuralAreaX,Domestic Violence,2024,78,33,45,6,56,16,44,34,16
Koppal,Robbery,2024,17,11,6,2,13,2,14,3,3
Hassan,Dowry Death,2024,0,0,0,0,0,0,0,0,0
Mysuru,Domestic Violence,2024,73,25,48,12,48,13,55,18,18
Chikkaballapura,Molestation,2024,14,6,8,1,11,2,11,3,4
RuralAreaX,Domestic Violence,2024,64,21,43,2,42,20,50,14,9
Kodagu,Murder,2024,3,1,2,0,2,1,2,1,0
Belagavi,Murder,2024,0,0,0,0,0,0,0,0,0
Bagalkot,Domestic Violence,2024,52,25,27,5,43,4,29,23,7
Mandya,Murder,2024,9,2,7,1,6,2,6,3,2
Chitradurga,Molestation,2024,20,7,13,2,14,4,13,7,0
Chikkamagaluru,Domestic Violence,2024,77,33,44,13,63,1,53,24,26
Gadag,Domestic Violence,2024,84,35,49,13,68,3,46,38,17
Vijayapura,Theft,2024,98,66,32,4,77,17,50,48,15
Gadag,Cheating,2024,91,57,34,17,72,2,32,59,7
Bengaluru Urban,Murder,2024,7,3,4,0,5,2,2,5,0
Mysuru,Theft,2024,94,48,46,15,77,2,69,25,6
Ballari,Cyber Crime,2024,77,23,54,14,47,16,23,54,9
Tumakuru,Cheating,2024,77,53,24,3,60,14,41,36,13
Dharwad,Rape,2024,27,14,13,2,19,6,20,7,3
Hubballi,Dowry Death,2024,4,1,3,0,3,1,1,3,0
Chikkamagaluru,Domestic Violence,2024,67,35,32,11,55,1,24,43,11
Gadag,Dowry Death,2024,0,0,0,0,0,0,0,0,0
Bidar,Cyber Crime,2024,56,25,31,6,41,9,24,32,1
Belagavi,Murder,2024,3,1,2,0,2,1,2,1,0
Koppal,Cyber Crime,2024,54,26,28,9,43,2,34,20,3
Koppal,Dowry Death,2024,8,3,5,0,4,4,4,4,0
Dharwad,Domestic Violence,2024,58,19,39,10,48,0,51,7,15
Chikkamagaluru,Rape,2024,25,9,16,2,17,6,11,14,4
Mandya,Cheating,2024,98,33,65,9,65,24,66,32,11
Ramanagara,Cyber Crime,2024,71,33,38,5,43,23,50,21,5
Kalaburagi,Molestation,2024,19,6,13,2,13,4,13,6,4
Uttara Kannada,Domestic Violence,2024,74,50,24,4,46,24,38,36,15
Bidar,Robbery,2024,13,6,7,0,8,5,7,6,0
Davangere,Cyber Crime,2024,54,30,24,2,40,12,14,40,2
Tumakuru,Cheating,2024,85,58,27,4,63,18,50,35,21
Raichur,Cheating,2024,93,41,52,8,76,9,67,26,21
Dharwad,Domestic Violence,2024,62,18,44,2,38,22,31,31,10
Uttara Kannada,Molestation,2024,24,10,14,2,16,6,17,7,1
Tumakuru,Domestic Violence,2024,91,59,32,4,60,27,61,30,24
Davangere,Cyber Crime,2024,49,29,20,7,37,5,27,22,9
Gadag,Kidnapping,2024,3,1,2,0,2,1,1,2,0
Shimoga,Dowry Death,2024,7,3,4,1,5,1,4,3,0
Shivamogga,Molestation,2024,23,13,10,2,18,3,14,9,3
Tumakuru,Robbery,2024,15,7,8,2,10,3,6,9,2
Tumakuru,Cyber Crime,2024,62,31,31,11,39,12,27,35,7
Bagalkot,Theft,2024,89,37,52,3,73,13,66,23,16
Vijayanagar,Molestation,2024,14,5,9,0,9,5,5,9,1
Ballari,Theft,2024,133,77,56,7,82,44,66,67,12
Gadag,Domestic Violence,2024,71,39,32,8,51,12,56,15,8
Vijayanagar,Dowry Death,2024,9,4,5,0,6,3,6,3,2
Kalaburagi,Theft,2024,103,67,36,9,76,18,68,35,18
Haveri,Cyber Crime,2024,80,25,55,15,55,10,49,31,14
Bidar,Dowry Death,2024,0,0,0,0,0,0,0,0,0
Shimoga,Robbery,2024,16,9,7,2,12,2,10,6,4
Kolar,Dowry Death,2024,3,1,2,0,2,1,0,3,0
Koppal,Dowry Death,2024,4,2,2,0,3,1,1,3,0
Bidar,Murder,2024,8,3,5,1,6,1,5,3,1
Dharwad,Molestation,2024,20,6,14,0,14,6,7,13,0
Ballari,Robbery,2024,18,6,12,3,12,3,9,9,3
Kalaburagi,Dowry Death,2024,10,6,4,1,6,3,5,5,2
Raichur,Cheating,2024,111,33,78,14,71,26,71,40,28
Yadgir,Cheating,2024,97,66,31,5,77,15,36,61,4
RuralAreaX,Cyber Crime,2024,48,22,26,7,32,9,24,24,11
Koppal,Theft,2024,105,69,36,17,77,11,76,29,7
Chamarajanagar,Robbery,2024,16,10,6,2,10,4,10,6,4
Gadag,Murder,2024,4,2,2,0,2,2,2,2,0
Dharwad,Dowry Death,2024,0,0,0,0,0,0,0,0,0
Chikkaballapura,Theft,2024,103,69,34,5,62,36,26,77,7
Mandya,Murder,2024,0,0,0,0,0,0,0,0,0
Vijayapura,Cheating,2024,68,35,33,11,49,8,55,13,9
Vijayanagar,Rape,2024,23,13,10,1,19,3,16,7,4
Kolar,Theft,2024,116,45,71,8,96,12,92,24,4
Raichur,Cyber Crime,2024,77,44,33,13,58,6,44,33,11
Mangaluru,Dowry Death,2024,5,2,3,0,3,2,2,3,0
Mandya,Dowry Death,2024,8,3,5,1,5,2,4,4,1
Uttara Kannada,Rape,2024,40,20,20,5,27,8,35,5,7
Chikkaballapura,Theft,2024,101,53,48,17,74,10,36,65,6
Kolar,Murder,2024,6,3,3,0,3,3,4,2,1
Chamarajanagar,Kidnapping,2024,7,2,5,0,5,2,4,3,1
Davangere,Dowry Death,2024,13,4,9,1,8,4,5,8,2
Kodagu,Rape,2024,33,11,22,5,21,7,26,7,3
Shimoga,Murder,2024,7,3,4,0,5,2,5,2,1
Chamarajanagar,Dowry Death,2024,8,2,6,1,5,2,5,3,1
Dharwad,Rape,2024,34,18,16,6,22,6,27,7,11
Mandya,Murder,2024,6,3,3,0,4,2,3,3,1
Koppal,Murder,2024,3,1,2,0,2,1,1,2,0
RuralAreaX,Cheating,2024,96,61,35,15,72,9,83,13,6
Kodagu,Rape,2024,34,15,19,4,26,4,26,8,2
Mandya,Theft,2024,130,65,65,19,92,19,67,63,13
Dharwad,Robbery,2024,16,6,10,2,10,4,9,7,2
Chikkamagaluru,Molestation,2024,15,7,8,2,12,1,9,6,3
Ballari,Cyber Crime,2024,71,36,35,14,47,10,52,19,17
Kolar,Dowry Death,2024,2,0,2,0,1,1,0,2,0
Davangere,Cheating,2024,90,27,63,12,64,14,51,39,19
Yadgir,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Bengaluru Rural,Molestation,2024,32,21,11,5,25,2,19,13,3
Bengaluru Rural,Molestation,2024,26,13,13,3,20,3,8,18,2
Chamarajanagar2,Kidnapping,2024,2,0,2,0,1,1,0,2,0
Udupi,Robbery,2024,3,0,3,0,2,1,0,3,0
Chitradurga,Molestation,2024,26,14,12,2,21,3,21,5,6
Hubballi,Cyber Crime,2024,80,30,50,6,54,20,34,46,10
Shimoga,Domestic Violence,2024,50,24,26,3,36,11,21,29,1
Chamarajanagar,Kidnapping,2024,2,0,2,0,1,1,1,1,0
Ramanagara,Dowry Death,2024,5,2,3,0,3,2,3,2,0
Gadag,Murder,2024,6,3,3,1,3,2,5,1,1
Chamarajanagar2,Murder,2024,3,1,2,0,2,1,2,1,0
Chamarajanagar2,Domestic Violence,2024,62,43,19,4,37,21,45,17,16
Vijayanagar,Rape,2024,40,25,15,1,29,10,10,30,4
